,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
150,VALLILA,60.1961671,24.9567103,HKL Vallilan raitiovaunuvarikko,60.19534378277759,24.96263539417122,Tram Station
151,VALLILA,60.1961671,24.9567103,Lankatalo Priima,60.19715773229404,24.950625005460957,Knitting Store
152,VALLILA,60.1961671,24.9567103,Power Pizza,60.195564,24.963224,Pizza Place
153,VALLILA,60.1961671,24.9567103,HSL 2155 Elimäenkatu,60.19293160380349,24.953718398837726,Bus Stop
154,VALLILA,60.1961671,24.9567103,Teatteri Toivo,60.198843,24.962671,Theater
155,VALLILA,60.1961671,24.9567103,Roineenpuiston koira-aitaus,60.192305419751136,24.95460748672485,Dog Run
156,VALLILA,60.1961671,24.9567103,HSL 2427 Mäkelänrinne,60.19779865639562,24.94906866080795,Bus Stop
157,VALLILA,60.1961671,24.9567103,Keuruunpuisto,60.19178924899645,24.957464539382894,Park
158,ULLANLINNA,60.1587146,24.949404,Paulette,60.15847474060906,24.94611096237136,French Restaurant
159,ULLANLINNA,60.1587146,24.949404,Anton & Anton,60.15929979258972,24.946552442919316,Farmers Market
160,ULLANLINNA,60.1587146,24.949404,Fasaani Antiikki & Helsinki Secondhand,60.160170816584454,24.946714693476657,Antique Shop
161,ULLANLINNA,60.1587146,24.949404,Café Succès,60.159889909138634,24.946633592689945,Coffee Shop
162,ULLANLINNA,60.1587146,24.949404,Pontus,60.1587920757416,24.94628194859813,Bistro
163,ULLANLINNA,60.1587146,24.949404,Kortteliravintola Lungi,60.159732689860526,24.946649943675485,Gastropub
164,ULLANLINNA,60.1587146,24.949404,Sea Horse (Sikala),60.158765,24.94648,Scandinavian Restaurant
165,ULLANLINNA,60.1587146,24.949404,La Bottega 13,60.158328,24.945032,Italian Restaurant
166,ULLANLINNA,60.1587146,24.949404,Maxill,60.16034065169191,24.946441501379013,Scandinavian Restaurant
167,ULLANLINNA,60.1587146,24.949404,KOM-teatteri,60.158771761939775,24.9462496837808,Theater
168,ULLANLINNA,60.1587146,24.949404,Helsingin Jäätelötehdas,60.15564257129751,24.950891291266238,Ice Cream Shop
169,ULLANLINNA,60.1587146,24.949404,Bus Gelato,60.159523,24.94236,Ice Cream Shop
170,ULLANLINNA,60.1587146,24.949404,Tähtitorninmäki,60.161977496360954,24.952762126922607,Park
171,ULLANLINNA,60.1587146,24.949404,Meripuisto,60.155378,24.947869,Park
172,ULLANLINNA,60.1587146,24.949404,Ora,60.157583,24.942954,Scandinavian Restaurant
173,ULLANLINNA,60.1587146,24.949404,Šašlik,60.15854887991328,24.949154240838528,Russian Restaurant
174,ULLANLINNA,60.1587146,24.949404,Kaivopuisto / Brunnsparken (Kaivopuisto),60.15680978091396,24.95673179626465,Park
175,ULLANLINNA,60.1587146,24.949404,BrewDog Helsinki,60.16070885292703,24.942280054092404,Beer Bar
176,ULLANLINNA,60.1587146,24.949404,Eiring,60.162298248896455,24.94611855692978,Kitchen Supply Store
177,ULLANLINNA,60.1587146,24.949404,Sushi'n'Roll,60.157150254433944,24.945597254370043,Sushi Restaurant
178,ULLANLINNA,60.1587146,24.949404,La Maison,60.15812866228636,24.941986647143196,French Restaurant
179,ULLANLINNA,60.1587146,24.949404,Johanneksenpuisto,60.16183040605845,24.94373974875139,Park
180,ULLANLINNA,60.1587146,24.949404,"Taqueria ""El Rey""",60.159122515768146,24.943052530288696,Mexican Restaurant
